start,end,text
1649.8,1654.62," better as a side. Why is that the case? Because the proposition argument, the argument the"
1654.62,1658.56, proposition makes here is that call-out culture is ineffective. It's ineffective because people
1658.56,1662.56," are inherently defensive, and what we advocate is a system in which people perpetually become"
1662.56,1669.18," defensive, and therefore you create a vicious cycle of hatred. Why exactly do we think this is a complete and utter lie?"
1669.28,1672.22," We think that Kola, because in their world, we think that they've strategically made a"
1672.22,1676.04, mistake when they've constructed that argument. If they say that people are going to be defensive
1676.04,1679.44," when something that challenges their views is brought up to them, we think that their"
1679.44,1683.54, models likely do the very exact same thing. Because you're prioritising and presenting
1683.54,1685.8," people with views that are against what they believe, albeit"
1685.8,1687.74, in a softer way. We think that the exact same
1687.74,1689.64, outcome is likely to happen.
1689.9,1691.88, Do we tell you that you're likely to make them even more
1691.88,1693.8, pissed off because it's incredibly demeaning
1693.8,1695.66," to have these people, to"
1695.66,1697.86, treat these people as children? Because what you're
1697.86,1699.58, essentially doing is saying that you have a psychological
1699.58,1701.84, problem and that's why you have certain political beliefs
1701.84,1703.88, and therefore we treat you in the best way
1703.88,1710.0, possible. Anything that's likely to make people more angry and compound the harms that we are trying to stop.
1710.0,1714.0," Moreover, we think that outside is comparatively better when it comes to shutting out these opinions."
1714.0,1720.0," Why is that the case? Because in many instances, colloquial culture isn't a war between different groups of people,"
1720.0,1726.12, it's society versus a specific individual. It's society versus Harvey Weinstein. It's society versus Mario Yiannopoulos.
1726.28,1728.76," In those instances, we would tell you that that overwhelming force"
1728.76,1732.34, and that contemporariness in modern culture is especially effective
1732.34,1736.0, at ensuring that people are unlikely to continue to perpetuate their views.
1736.18,1739.12," Or at the very least, even if they continue to perpetuate their views,"
1739.34,1742.5," you as the victim know that there's social backing behind your cause,"
1742.58,1748.68," that you are not left in the dark and that those views are not normalized normalized. In those instances, we tell you it's so much better for"
1748.68,1752.74, victims. Then they told us about racists rallying together and then using that power to exclude
1752.74,1757.8," microaggressions against minorities. One, we told you that's completely unrealistic. We think that"
1757.8,1761.44, it's unlikely to say that racists are not likely to band together and perpetuate acts of violence
1761.44,1764.82, against minorities like the KKK. We think that those people are likely to be stuck into their
1764.82,1766.0," views no matter what you do,"
1766.0,1768.0, and realistically isn't what this debate is about.
1768.0,1771.0," But secondly, if we're talking about people who are likely to retain the same views,"
1771.0,1775.0, why is this something that is harmful if we can protect minorities?
1775.0,1779.0, We would say that we would defend social engagement at the point at which it is constructive.
1779.0,1784.0," We think that their kind of social engagement is not one that would be conducive or desirable in the first place,"
1784.0,1787.42, because you have people who are inherently racist on the extreme side of the spectrum
1787.42,1791.14," engaging with people who are vulnerable. In those instances, we are winning this debate."
1791.24,1792.84," Before I move to my substantive answer, yes."
1792.96,1797.32," So in color culture, when color culture occurs, isn't it more likely that a group of men are"
1797.32,1802.08, likely to catcall together and likely to throw out even more slurs when they are affirmed
1802.08,1802.52, by one another?
1802.52,1805.1," Sir, sir, sir, on your side, nothing happens to that group of men."
1805.18,1809.26," On our side, at the very least, there's backlash, there's accountability, there's justice, that is so much better."
1809.52,1810.9, So let me move on to my substantive matter.
1811.02,1815.1," Firstly, bringing back Nero's argumentation, which for a large part was ignored in this debate."
1815.16,1815.82, What did she tell you?
1815.82,1819.58," She told you that firstly, minorities are the most important actor in this debate,"
1819.76,1823.7, and previous engagement is comparatively worse and is bettered by call-out culture
1823.7,1827.76, because you are now linking the harm to the perpetrator instead of the victim.
1827.76,1831.12, And so it's incredibly empowering for victims and therefore it's beneficial.
1831.12,1835.08," Secondly, we told you that it's principally justified because it's an expression of anger."
1835.08,1838.46, Because we told you these people were historically disadvantaged and comparatively have more
1838.46,1842.68, access to opportunity and choice and freedom of expression than those people on their side
1842.68,1843.68, that they want to protect.
1843.68,1846.52, And therefore it's justified for them to express their anger in this way.
1846.96,1849.78," Thirdly, we told you that it's effective in giving airtime to minorities"
1849.78,1852.9," and disincentivising the use of this kind of language in the future,"
1853.2,1855.4, therefore winning on all of those grounds minimal response.
1855.48,1857.08," But let's move on to my substantive matter,"
1857.38,1861.2," which is exactly how it betters societal discourse,"
1861.2,1864.48, because we need to actually understand what societal discourse looks like currently.
1864.6,1867.86, It's not the extremes that they paint out of these extreme races. In many
1867.86,1871.8, cases we're talking about people who are willing to engage with each other. The problem is
1871.8,1876.1, the quality of their engagement and how that engagement happens. 70% of Facebook users
1876.1,1879.88," frequently target people and engage with people who have opposing political views, yet we"
1879.88,1885.04, still have a polarisation in our society. That reason is not how much discourse that
1885.04,1888.06, they have on their side of the house in which they could increase the magnitude of this
1888.06,1892.26, discourse instead of the quality of it. We think our side is better for quality. That's
1892.26,1897.42, exactly the reason why Ben Shapiro has minimal backlash while Milo Yiannopoulos has maximum
1897.42,1901.32," backlash because Ben Shapiro conveys his views in a way that is nuanced, intelligible and"
1901.32,1907.24," understanding and not offensive, however, that's not the same for other people who blatantly offend minorities."
1907.4,1910.1, Why do we think that call-out culture is then better for this discourse?
1910.2,1913.98," Because call-out culture inherently attempts to shift discourse to the centre,"
1914.18,1916.5, or at the very least the centre-left of the political spectrum.
1916.6,1917.28, How does it do this?
1917.46,1919.24, Call-out culture is reactionary.
1919.34,1921.68, It doesn't act as a form of social engagement.
1921.68,1924.06, It's reactionary to how that engagement happens.
1924.26,1928.58, At the point at which you start using racial slurs is when colloquial culture comes into effect.
1928.76,1933.12," At that point, you are disincentivized from using this kind of language when you engage in those discussions."
1933.34,1937.88," Again, the incentive it then creates is for people to temper themselves when they engage in discussion"
1937.88,1941.26, and make that discussion a lot more productive and a lot more engaging.
1941.26,1948.8," In those instances, we tell you that civic discussion is better on our side, we are so much more better for discourse. For example, it looks like massive"
1948.8,1953.44, societal backlash after Milo Yiannopoulos caused Cole Lindley-Jones a gorilla. That's
1953.44,1957.02," bad because in those instances the quality of that discourse is harmed, the quality of"
1957.02,1961.24, that discourse is bad. But we don't think that all writers' views are inherently illegitimate.
1961.24,1968.56," We think that societal discourse is important, it's how that social discourse happens that needs to decide who exactly wins this debate."
1968.56,1972.34," That's important because our side is so much better, because on their side they would have"
1972.34,1976.5, no defence and no accountability measures for people who decide to cross the line.
1976.5,1980.48, Because the people who decide to cross the line can easily do so again and again and
1980.48,1983.84, again because they are ineffective at solving the harms of those people.
1983.84,1987.18," Closed on our side, at the very least, there's an incentive to temper yourself as a moderate."
1987.46,1990.4," At the very least, societal discourse is an approach I'm proud to oppose."
1994.18,2001.12," As a brown person in Malaysia, I know that it is all too easy to get carried away fighting the war for equality."
2001.46,2009.5, But what we often do not realise is that the people caught in the crossfire are the most vulnerable and the people that we were trying to protect to begin
2009.5,2013.16, with. Two questions are answered in this speech and hence two metrics this debate should be
2013.16,2018.88," adjudicated upon. The first, in principle, is it legitimate to call individuals out?"
2019.24,2024.26," Secondly, where do we provide better outcomes for victims with regards to lessening the"
2024.26,2025.52," influence of perpetrators? And secondly, with regards to lessening the influence of perpetrators"
2025.52,2027.32, and secondly with regards to victims?
2027.48,2030.16," I'm going to deal with the most contentious part of this debate first,"
2030.26,2031.96, with regards to where we help minorities more.
2032.2,2035.56," Because note that if we prove that we protect minorities more,"
2035.74,2037.86, then we also to some degree win the principal battle
2037.86,2043.66, because a lot of the principal argumentations from opposition are contingent upon protecting minorities more.
2043.78,2051.52, So I'll deal with this in two methods. The first premise OP has is that they have accountability towards perpetrators. We see
2051.52,2056.44," a number of things. The first, perpetrators are likely to be angry because of their self-preservation"
2056.44,2062.42," instinct and they are likely to act defensively. So maybe it's true if we talk to people one-on-one,"
2062.54,2068.82," they will still be angry, but people are less likely to be angry in our world if we approach them intellectually."
2069.18,2072.54," On a net, individuals are more likely to respond constructively"
2072.54,2076.94," when individuals have the courtesy to pull them aside and talk to them nicely,"
2076.94,2081.94," as opposed to shame them in public, as opposed to release intimate details of them in public"
2081.94,2083.98, or taking away their Instagram accounts.
2084.26,2085.08," But secondly,"
2085.54,2090.6," even if it's true perpetrators stop for a certain period of time, we think when they eventually do"
2090.6,2095.38," act out, it's likely to be in short concentrated bursts that are more harmful than the net. So"
2095.38,2098.84, they are more likely to do things like be violent. They are more likely to do things like be
2098.84,2103.62, microaggressive as opposed to a world where they make a bad statement. We would far rather them
2103.62,2110.84," making harmful statements as opposed to not hiring minorities, as opposed to a world where they make a bad statement. We would far rather them making harmful statements as opposed to not hiring minorities, as opposed to hurting minorities physically. But thirdly,"
2111.04,2115.84, I think opposition asserts to you that individuals are likely to hide. But I don't get this premise.
2116.14,2120.34, Why would they start hiding if they are in the majority? The more likely thing for them to do
2120.34,2125.06, is find people to gain affirmation from each other to fight that minority. And they're
2125.06,2129.84," likely to be able to gain this affirmation, ladies and gentlemen, by the simple fact that they're in"
2129.84,2135.08, the majority. You make the power dynamic worse because the majority has an incentive to band
2135.08,2141.02," together and attack the minority like collectively, right? So have you seen, this means you lose the"
2141.02,2148.98," public war because for every minority you gain when you call people out, there are a thousand majority people that come out in support of that individual."
2149.26,2150.58, The comparative is heavy.
2150.72,2153.36," See, a one-on-one interaction in our world,"
2153.54,2155.68," where the power dynamic is not as apparent,"
2155.94,2159.32," where an individual can talk to you as one human being to another,"
2159.54,2163.36, as opposed to a far smaller community trying to challenge a larger community.
2163.58,2165.42," When you make the interaction about race,"
2165.56,2166.82, it's far harder for us
2166.82,2167.32, to interact
2167.32,2168.3, as opposed to when
2168.3,2168.92," it's a friendly,"
2169.08,2170.06, constructive discussion
2170.06,2171.14, where I'm trying
2171.14,2172.38, to make you better.
2172.56,2173.04, Have a seat.
2173.38,2174.4," Even if it's true,"
2174.74,2175.94, even if their premise is true
2175.94,2177.12, that individuals are likely
2177.12,2178.06," to hide their feelings,"
2178.36,2179.3, we think this is horrible.
2179.6,2180.28, In a world where
2180.28,2181.3," they hide their feelings,"
2181.52,2182.46, they mean you can never
2182.46,2183.74, constructively engage with them
2183.74,2184.7, because you don't know
2184.7,2185.32," who is racist, you don't know who is racist,"
2185.48,2186.88," you don't know who is sexist,"
2187.02,2187.48, heavy seat.
2187.66,2189.14, People still hold bigoted views.
2189.26,2190.58, People still have microaggressions.
2190.7,2192.46, People still don't hire individuals.
2192.72,2194.56, They are more likely to vote for Donald Trump
2194.56,2195.54, in the war of opposition
2195.54,2198.44, because their votes are still private.
2198.56,2200.78, They can still do whatever they want in the ballot box.
2200.86,2201.9," The comparative is,"
2202.08,2203.6, when individuals feel comfortable
2203.6,2205.08," about talking about their views,"
2205.28,2210.38," we are more likely to be able to correct them privately, we are more likely to discuss it amicably, right?"
2210.52,2214.42," So the conclusion is, at the very least, even if individuals hide it in your world,"
2214.52,2218.36," we cannot engage with them, we cannot change their minds."
2218.42,2218.78, Have you seen?
2218.96,2223.34," But the second level to this issue, where are the perpetrators more likely to believe they are right?"
2223.34,2224.02, Two responses.
2224.28,2230.06," A, winning an opposition when you react with emotion, these majority individuals are also likely to"
2230.06,2236.58," react with emotion. The problem with emotion is that it is often irrational. As a result, A, you"
2236.58,2241.44, cannot pinpoint the problem as in we don't know why this individual is being racist and as a result
2241.44,2249.58, we cannot constructively correct that individual. But there will never be a compromise in a world where individuals are irrational and emotional
2249.58,2253.84, they have no incentive to compromise because it feels like a concession i'm not going to concede
2253.84,2258.96, in public that i'm wrong in their world and i have no incentive to make a compromise the comparative
2258.96,2265.24, is a smaller hit to my ego if i tell a friend yes i think I think I might have been wrong. I'm more likely to
2265.24,2269.76, concede. I'm more likely to compromise. What is the comparative and why do we win this? Have a seat.
2269.82,2274.82," This is important, guys. I think you should listen. We think that perhaps you won't make a 360 degrees"
2274.82,2280.32," change, but you're more likely to talk. You're more likely not to be turned off by intellectual"
2280.32,2286.06," discussion. Even if you don't change completely, you're more likely to be less hostile in the world"
2286.06,2288.0, of proposition. You're more likely to be
2288.0,2290.04," slightly more moderate in our world, and"
2290.04,2292.2, that's a benefit we guarantee to you.
2292.32,2293.94," But before I move on, defend yourself."
2294.36,2295.88, How is what you are saying not
2295.88,2298.1," call-out culture? It's not, right?"
2298.18,2299.94, We told you the premise of call-out culture
2299.94,2302.24," is two things. One, that you react with emotion."
2302.62,2304.04," Two, it's in public. The comparative"
2304.04,2306.72," in our world is when we talk to an individual in private,"
2306.92,2308.68, when we don't say you're a horrible person
2308.68,2309.48," for doing these things,"
2309.7,2311.72," but rather, I felt hurt by it"
2311.72,2314.24, and we think you should constructively engage with it.
2314.28,2315.48," But even if we don't have that,"
2315.66,2318.26," we told you that we have media narratives and so on,"
2318.28,2319.96, and people are more likely to listen
2319.96,2320.96, to those media narratives
2320.96,2322.14," about checking their privilege,"
2322.36,2323.32," about not being racist,"
2323.32,2328.04, the point in which they don't feel attacked. Second premise in this issue with regards to victims.
2328.3,2332.82, So opposition makes this very bold assertion that we put the onus more on victims in our.
2333.14,2337.3," This is untrue for a number of reasons. Firstly, there's more victim blaming in the world of"
2337.3,2341.62," opposition because people feel a need to shift blame. In a world where you create blame,"
2341.72,2345.6," in a world where you create guilt, in an effort to alleviate their guilt, they're not going to concede."
2345.8,2347.82," They're going to shift that blame, shift that guilt."
2347.9,2353.52, Because it's far easier for the majority to shift guilt than to simply concede that what they did is wrong.
2353.78,2357.14, Especially in the public sphere where they don't want to lose credibility.
2357.58,2363.64," But secondly, only popular people with social capital have a seat, can call other individuals out."
2363.94,2366.06, You make calling out a prerequisite
2366.06,2372.7," to gaining closure. The comparative is a minority can feel safe, can feel happy even without calling"
2372.7,2377.26, out. The reason why this is important is because it proves that calling out is often inaccessible
2377.26,2382.56, for a large amount of people that don't have social capital to call individuals out. Have you
2382.56,2385.32," seen? But thirdly, and most perniciously,"
2385.54,2387.96, you allow racists to play the victim card
2387.96,2389.6, in the world of opposition.
2389.82,2391.12," That means all the moral high ground,"
2391.22,2392.94, all the moderates and people on the fence
2392.94,2395.42," that just, or like, they may not be racist,"
2395.62,2397.16," they may not support Black Lives Matter,"
2397.36,2398.96, but they just think it's not nice
2398.96,2400.36, to do horrible things to people.
2400.56,2402.0," You lose these individuals,"
2402.26,2403.98," the point in which you allow racists to say,"
2404.2,2410.1," I'm being attacked, I'm the victim, and it's no longer, it's more morally ambiguous in the world of opposition,"
2410.36,2415.4," and as a result, there's more political capital for racists, more capacity for people to discriminate."
2415.62,2420.12," You're more likely to create racists in their world because people don't care. But lastly, you shift"
2420.12,2425.0, discussion to echo chambers to get affirmation because it's harder to be in the public's lips menghantar perbincangan kepada pejabat ekonomi untuk mendapatkan pengakuan kerana lebih sukar untuk berada di dalam keseluruhan.
2425.0,2428.0," Pertanyaan terakhir, ada lebih banyak kepercayaan diri dalam jam."
2428.0,2432.0, Orang lebih sering mempersatakan dalam jam apabila mereka tidak terasa terganggu.
2432.0,2434.0, Tetapi dengan sangat perlahan-lahan mengenai prinsip ini.
2434.0,2437.0, Prinsip yang mereka hanya mempunyai adalah bahawa kekurangan kekurangan adalah memperlakukan dan membuat orang marah.
2437.0,2440.0," Kami tidak percaya ini benar kerana pertama,"
2440.0,2444.0, kemarahan anda membuatnya lebih sukar untuk orang lain mendapatkan kepercayaan.
2444.0,2447.7," Setiap kali anda marah, anda mencipta 1,000 lagi rasis. Your anger actively makes it harder for other people to gain acceptance. Every time you get angry, you create a thousand more racists."
2447.82,2451.9, You create individuals that will attack your minority community.
2451.9,2457.58," Your individual right to be angry should never supersede a community's capacity to gain acceptance,"
2457.84,2462.3, especially when they don't necessarily consent to your capacity to be angry.
2462.56,2465.5, But they don't respond to our principal argumentation about how individuals are predisposed to being racist sometimes. dan menerima kemampuan anda untuk marah. Tetapi mereka tidak menjawab argumentasi utama kami
2465.5,2467.2, tentang bagaimana orang-orang diberi penyakit
2467.2,2468.4, untuk menjadi rasist kadang-kadang.
2468.4,2469.5," Jadi, premisnya adalah,"
2469.5,2471.5, seringkali kita tidak tahu keadaan seseorang.
2471.5,2474.1," Sebagai hasil, kita tidak boleh memanah orang yang tidak bersalah."
2474.1,2476.2, Sebab itulah memanah orang yang tidak bersalah
2476.2,2478.5, lebih teruk daripada membiarkan orang yang bersalah berbeza.
2478.5,2479.7," Sebagai peraturan,"
2479.7,2482.0, kita harus cuba memahami nuansa orang
2482.0,2483.2," sepanjang mungkin,"
2483.2,2488.7," walaupun kita membiarkan seseorang yang teruk berbeza berbeza, sekurang-kurangnya kita melindungi kemampuan untuk orang-orang untuk selamat, sekurang-kurangnya kita melindungi kecil-kecil, and understand the nuances of people as far as possible, even if we let someone horrible get free, at least we protect the capacity for people to be safe, at least we protect"
2488.7,2490.94, minorities. Never been prouder than the folks. Thank you.
2494.08,2499.22," Madam Chair, what the world looked like prior to call-out culture was a world in which we"
2499.22,2508.66," prioritised teaching individuals about exactly what happens within our society, having educational programs where we tell people,"
2508.88,2511.76," don't be a rapist, don't treat women unfairly,"
2511.84,2514.02, don't do all of these negative things.
2514.48,2518.26," What the result of that was, was that rape statistics in the USA"
2518.26,2521.96," rose by a considerable amount, and all over the world."
2521.96,2528.6, What's important to notice is that literally everything they've been telling you within today's debate is what the world looked like
2528.6,2533.0," prior to quote-unquote culture, and it was largely ineffective in achieving any of their"
2533.0,2537.46," aims within today's debate, which is why quote-unquote culture exists in the first place. You can't"
2537.46,2541.52, propose an alternative that already existed and was ineffective in solving those problems.
2541.74,2548.9," What is this debate about? Firstly, we think throughout their entire benchmark, also within a third, we get an extremely, like, extreme characterization"
2548.9,2553.06, of what happens within queer culture in the first place and how people interact with it.
2553.26,2557.16," No, we don't think we're going to have a bunch of mobs with torches running out in the streets"
2557.16,2561.08," harming minorities. That's not what the world looks like. In fact, we're more likely to"
2561.08,2564.92," get individuals to apologize for the wrong things that they do, even if we don't prioritize"
2564.92,2566.06, that within today's debate.
2566.14,2568.96," People like Kevin Spacey, Harvey Weinstein, and Russell Simmons"
2568.96,2571.84," actually apologized for all of the harms that they created,"
2571.94,2574.34, for all of the injustices that they did towards women.
2574.42,2577.4, They don't show you why that isn't something that's realistic.
2577.64,2580.68," Secondly, they tell us that this debate isn't about rape"
2580.68,2584.02," because they still prosecute that, recognize what's important there."
2584.02,2589.36," It's an implicit concession that no matter what your reason may be for why you commit that action,"
2589.64,2594.16, it is more than fine to prosecute you because the action is harmful in and of itself. That's
2594.16,2598.94," why we prosecute rape and that's why they're fine with it in the first place, right? You"
2598.94,2603.46," don't change those things under your side. You still get that problem existing. Lastly,"
2603.82,2607.1," in terms of clarity, recognize"
2607.1,2611.66, we didn't need to show you that we change people's opinions. This debate is beyond the
2611.66,2616.44, spectrum of wanting to appeal to those very same individuals that oppress you. What all
2616.44,2620.5," of this looks like is saying, I no longer care about your opinion because it's something"
2620.5,2628.04," that can exist now and not exist later, but I want to be liberated as an individual and exist in a society whereby I feel comfortable"
2628.04,2630.28, and there's a space in which I can express myself.
2630.54,2632.16, You don't get any of that under their side.
2632.24,2633.3, Two issues in today's debate.
2633.66,2635.96," Firstly, is Kuala Lumpur principally legitimate?"
2636.46,2638.92," Secondly, does it produce positive outcomes?"
2638.92,2652.3, The first thing that they tell us under this issue is the idea that it creates a standard whereby you can only be liberal if you get involved with call-out culture.
2652.48,2654.54," No, right? That's not what it seeks to do."
2654.54,2660.74, What call-out culture does in the vast majority of instances is that it says it is more than fine even if you don't engage with this.
2660.82,2668.98," You must recognize that these are the views that are correct. This is what needs to happen within this instance. Secondly, they give us this idea that only people with"
2668.98,2673.64," social capital are able to access call-out culture. No, that's a lie, right? The reason why"
2673.64,2678.5," call-out culture is largely effective is because not only people with social capital can do it,"
2678.74,2683.92, but normal people existing within our societies. The victims of people like Russell Simmons aren't
2683.92,2688.62," famous individuals who are able to gain a lot of social traction, but they were able to call"
2688.62,2693.34, him out because it's not only accessible to those individuals. You don't do any of that
2693.34,2697.5, under their side. And the third thing that they give us under this issue is the idea
2697.5,2703.88, that people are more likely to apologize in a space that is nice and safe and away from
2703.88,2708.82," everyone else. Firstly, recognize that call our culture is a reactionary mechanism"
2708.82,2712.48," to people already publicly making awful statements, right?"
2712.62,2714.88," If you make a statement on Twitter that's racist,"
2715.18,2718.8, why am I not allowed to have a reaction on that very same public platform
2718.8,2720.94, that you chose to express that statement on?
2721.14,2722.78, You don't get any of that under their side.
2723.04,2728.76," But secondly, if it is a majority and all of their analysis is true about how the majority supports your opinion,"
2728.76,2733.4," you are more likely to not listen to those individuals in a private sphere anyways, because"
2733.4,2738.32, you have absolutely no incentive to take their views into account because your society affirms
2738.32,2744.06, you under their side. We recognise here that they don't change anything under their side.
2744.06,2746.08, Qual-out culture is what's more legitimate.
2746.08,2756.74, The last thing that they give you under this issue is the idea that it doesn't take into cognizance the different ideas or the different reasons why people commit a specific action.
2757.4,2762.14, Recognize that our purpose in this debate is not to fix people and to change their opinions.
2762.26,2763.22, That's not what we're here to do.
2763.54,2769.02," The action you are doing is inherently harmful, and that's what we want to attack. But even if this debate"
2769.02,2773.44," was about changing those very same individuals' opinions, at the point at which we threaten"
2773.44,2779.0," something of yours that you find important and we react to those very same comments,"
2779.1,2783.16, we are more likely to get a reaction from you that's going to be somewhat beneficial.
2783.16,2787.9, The conclusion here then becomes that the idea of call-out culture is legitimate
2787.9,2793.2, because it enfranchises those individuals who are disenfranchised or taken.
2793.52,2795.98," When one person is racist to another person in your world,"
2796.1,2798.18, another hundred people can join him in his fight.
2798.5,2802.14, How is that proportional and how does it help change him to be less racist?
2802.54,2804.68," No, right? That only exists in your world."
2804.68,2808.7," Because firstly, I told you that our purpose is not to change racist people's opinions."
2809.12,2814.7," But secondly, we don't get a large amount of individuals joining into that very same idea anyways."
2814.84,2819.06," When politicians make largely problematic statements, you don't get a lot of people being like,"
2819.06,2820.6," Hey, these statements are correct."
2820.84,2829.58," No, you get a backlash from that very same society and those people are less likely to make those comments. In the first place, that's why those politicians apologize."
2829.92,2835.24," Second issue, does it produce positive outcomes? First thing that we get under this issue was"
2835.24,2841.2," the idea that people are going to become, is the idea that we shut our people's views"
2841.2,2849.74," and polarize society to a great extent. Recognize here that at the point at which, firstly, we think that color culture, as I've told you, is a reactionary mechanism,"
2850.12,2852.54, so it reacts to those views already existing.
2852.7,2856.68, Color culture exists because those views are already something that's prevalent within that society.
2856.88,2858.84, We don't think that it's something that exists there.
2858.84,2865.4," But secondly, if those views are harmful to individuals, we are more than fine with shutting them out in the first place, right?"
2865.46,2870.86," The way in which rights operate is that if your right is actively infringing upon another individual's right,"
2870.92,2877.9," we are more than fine with limiting that right, which is why sometimes we limit free speech when it actively harms other individuals, right?"
2877.94,2889.04, You don't show us why this is a problem under your side. The second thing that we get under this issue was the idea that people
2889.04,2894.08, are more likely to not listen to this because they're being actively harmed by these opinions.
2894.08,2897.4, The way in which society has worked to a great extent and the reason why we can actually
2897.4,2901.34, give you evidence as to why call out culture has been something that's effective beyond
2901.34,2910.62," just a dialogue that exists on a specific social media platform. It looks like people, I'll take you in a second, it looks like firstly, Bill Cosby going to"
2910.62,2915.6," jail because of the amount of rape that he's committed. The Me Too movement, a part of"
2915.6,2918.76," our culture, was very pivotal to that system. Tell me why you're on."
2919.96,2926.52," So, reactionary forces can exist on both sides. The point at which minorities rile up against the KKK or other forces,"
2926.82,2928.48, they can also rile up against minorities.
2928.74,2930.2, How does this be constructed?
2930.3,2931.8," No, right? That's not how it works."
2931.9,2935.34," But secondly, even if they had the ability to rile up against them,"
2935.54,2939.2," that means that they understand, that means that firstly they're angry,"
2939.32,2943.0," and that anger is a reaction to the fact that they recognize that they're under threat,"
2943.08,2947.38, and they can't harm these minorities because there's an accountability mechanism that already exists.
2947.64,2949.24, This is what we have under their side.
2949.34,2955.6," But secondly, what has been an offshoot of that very same call-out culture?"
2955.94,2959.02, It looks like being able to achieve everything that they want.
2959.02,2963.12, It looks like call-out culture being actively discussed on public platforms
2963.12,2967.08, where people have interactions about the very same things that they want to have interactions
2967.08,2970.98, about. The two policies are not mutually exclusive. We told you that ours is much
2970.98,2974.82, more effective because we're able to get tangible outcomes. It looks like Harvey
2974.82,2978.96, Weinstein being fired from his job. It looks like Kevin Spacey being fired from
2978.96,2981.78," the television show. Ladies and gentlemen, we are going to side with opposition"
2981.78,2985.16, because we showed you why we actually protect those very same minorities.
2989.04,2995.04," Ladies and gentlemen, call-out culture is something that is a lot more fluid and a lot more adaptable than proposition would have you believe."
2995.34,2998.06, And this is what we told you from the moment we started our case.
2998.3,3000.26, We think that call-out culture exists on a spectrum.
3000.68,3007.0," And perpetually, they continue to engage the most extreme and the worst side of the polar culture and say that they then regret that."
3007.0,3013.0," We engage them even on that ground, but we told them specifically that we think that given that it exists in so many homes,"
3013.0,3016.0, we can't regret it on the basis of what it can do and what it has done.
3016.0,3018.0, How are we going to judge this debate?
3018.0,3019.0," Three things, right?"
3019.0,3021.0, And this is the criteria we gave you in the OPCW and it was never challenged.
3021.0,3023.0, We think this is how we're going to judge the debate.
3023.0,3025.54," One, is polar polar culture extensively justified?"
3026.0,3028.32," Secondly, does it protect the most vulnerable?"
3028.76,3030.7," And thirdly, how then does it affect discourse?"
3030.78,3034.04, The prioritisation of those ought to be specifically on the victim first.
3034.28,3035.62, Who is likely to be better for them?
3035.86,3039.94," And secondly, we think that discourse is basically the least important in this debate."
3040.12,3042.28," Before that, there's more something important in terms of their strategy."
3042.58,3043.48, They give us a lot of harm.
3043.56,3046.12," They try to frame a spin-off effects of Kola culture,"
3046.2,3048.52, but we already told you that they pre-existed Kola culture
3048.52,3050.4," and are not inherent to that, right?"
3050.5,3053.74," But moreover, they frame that it gets worse because people are defensive,"
3054.06,3056.66, doing no work to prove why people who are naturally defensive
3056.66,3058.96, when being challenged are unlikely to be defensive
3058.96,3061.52," when some random person slides up in their DMs and says,"
3061.72,3063.14," I don't like what you said, right?"
3063.16,3064.44, They never actually make those links.
3064.64,3066.82, We told you that we think that's something that's highly unlikely.
3067.2,3068.48," Okay, let's start with the first catch."
3068.76,3070.52," Firstly, in terms of principle, what did they tell you?"
3070.72,3073.16, They told you that you judge someone who does not know what they're doing
3073.16,3074.52, and that they're predisposed to this.
3074.66,3079.34, We already told you that we think that one being ignorant
3079.34,3083.02," is largely going to be a choice of yours in this situation, right?"
3083.02,3086.36," It was important to raise that POI, that people have access to information."
3086.36,3088.08," If you don't know it, that's your choice."
3088.08,3089.18," But even if you were predisposed,"
3089.18,3091.44, we told you that we judge on the basis of predisposition
3091.44,3093.88, when it is illegitimate and when it harms people.
3093.88,3095.02," Contra that, what we gave,"
3095.02,3096.66," told you that it is proportional, right?"
3096.66,3098.22, Told you that words are fought with words.
3098.22,3100.18, What's on the internet is fought with what's on the internet.
3100.18,3101.68, That's why the physical intimidation thing
3101.68,3102.78, can't really fall through.
3102.78,3105.04, But we specifically told you that it harms the communities.
3105.4,3106.3," This is important, right?"
3106.5,3109.68, Because that harm to a community is what also feeds that proportionality.
3109.88,3111.54," That you're not just harming one person,"
3111.74,3113.58, and on that basis you're going to be held accountable.
3113.94,3117.2," You are harming black people, and black people hold you accountable."
3117.48,3119.74," They never engage with that proportionality, right?"
3119.86,3122.96, What they tell you instead is that your right to express yourself
3122.96,3124.84, should not supersede community interests.
3124.84,3125.5," But at what point are these interests different? We never really understand that either, right? What they tell you instead is that your right to express yourself should not supersede community interests."
3125.5,3126.5, But at what point are these interests different?
3126.5,3127.5, We never really understand that either.
3127.5,3132.5, I told you that it is for the community in terms of making sure that minorities as a
3132.5,3133.5, group can get closer to liberation.
3133.5,3134.5, But assume that they are right.
3134.5,3135.5, Let's do the comparative.
3135.5,3140.5, We're willing to sacrifice innocent people for the sake of prioritizing those who had
3140.5,3141.5, never been given a voice before.
3141.5,3149.0," If you care at all about this principle, we think that proportionality ought to outweigh sacrificing the few innocent lives on their own side."
3149.0,3153.76," Secondly, let's talk about who is the most vulnerable, right? And here, we can't say"
3153.76,3156.84," that this was the most important thing. I'll give you two things. The one, minorities get"
3156.84,3160.72," to speak from positions of power that have previously been denied, but it means that"
